anime_id,anime_url,title,synopsis,main_pic,type,source_type,num_episodes,status,start_date,end_date,season,studios,genres,score,score_count,score_rank,popularity_rank,members_count,favorites_count,watching_count,completed_count,on_hold_count,dropped_count,plan_to_watch_count,total_count,score_10_count,score_09_count,score_08_count,score_07_count,score_06_count,score_05_count,score_04_count,score_03_count,score_02_count,score_01_count,clubs,pics
33519,https://myanimelist.net/anime/33519/Koutetsujou_no_Kabaneri_Movie_1__Tsudou_Hikari,Koutetsujou no Kabaneri Movie 1: Tsudou Hikari,Compilation film of the first half of the TV series.,https://cdn.myanimelist.net/images/anime/13/82962.jpg,Movie,Original,1,Finished Airing,12/31/2016 0:00,12/31/2016 0:00,,Wit Studio,Action|Drama|Fantasy|Horror|Supernatural,7.55,12913,1584,2881,41104,35,1145,19846,523,545,19045,41104,1420,1557,3537,4123,1395,570,164,71,31,45,79626|17659|4343|69118|78786|71730,https://cdn.myanimelist.net/images/anime/13/82962.jpg|https://cdn.myanimelist.net/images/anime/1736/94285.jpg
5053,https://myanimelist.net/anime/5053/Ai_City,Ai City,It's sometime in the future and the story starts off with Kei and Ai running for their lives. Ai is a little girl who holds a terrible secret which could destroy the current world. The world is now populated by Headmeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,https://myanimelist.net/anime/1505/Detective_Conan_Movie_09__Strategy_Above_the_Depths,Detective Conan Movie 09: Strategy Above the Depths,Fifteen years ago in a barren stretch of the Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9745,https://myanimelist.net/anime/9745/Sengoku_Basara_Movie__The_Last_Party,Sengoku Basara Movie: The Last Party,The story of the film is set after the conflict instigated by Toyotomi Hideyoshi ended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,https://myanimelist.net/anime/793/xxxHOLiC_Movie__Manatsu_no_Yoru_no_Yume,xxxHOLiC Movie: Manatsu no Yoru no Yume,Summer break has arrived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6431,https://myanimelist.net/anime/6431/Chameko_no_Ichinichi,Chameko no Ichinichi,A pre-second world war anime from 1931 about the daily life of a Japanese girl named Chameko.,https://cdn.myanimelist.net/images/anime/4/14604.jpg,Movie,Original,1,Finished Airing,3/20/1931 0:00,3/20/1931 0:00,,,Comedy,4.63,527,11923,11432,997,0,20,799,7,44,127,997,11,6,11,50,94,132,84,49,44,46,14045|34583,https://cdn.myanimelist.net/images/anime/4/14604.jpg
4397,https://myanimelist.net/anime/4397/Osaru_no_Sankichi__Totsugeki-tai,Osaru no Sankichi: Totsugeki-tai,Short movie from 1934 about a war between monkeys and bears.,https://cdn.myanimelist.net/images/anime/7/8334.jpg,Movie,Original,1,Finished Airing,3/24/1934 0:00,3/24/1934 0:00,,,Military,4.4,599,12132,11120,1133,0,21,911,9,52,140,1133,14,7,8,43,69,161,108,86,57,46,14045|34583|25937,https://cdn.myanimelist.net/images/anime/7/8334.jpg
9958,https://myanimelist.net/anime/9958/Hayate_no_Gotoku_Heaven_Is_a_Place_on_Earth,Hayate no Gotoku! Heaven Is a Place on Earth,Hayate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24347,https://myanimelist.net/anime/24347/Inazuma_Eleven__Chou_Jigen_Dream_Match,Inazuma Eleven: Chou Jigen Dream Match,A new movie featuring a match between fan-voted members of the Inazuma Best Eleven team and the special Battle Eleven team.,https://cdn.myanimelist.net/images/anime/3/62875.jpg,Movie,Game,1,Finished Airing,6/13/2014 0:00,6/13/2014 0:00,,OLM,Sports|Super Power|Shounen,7,4876,4163,5639,9299,4,151,7261,93,121,1673,9299,529,421,796,1406,918,432,187,105,36,46,149|4993|65409|83131,https://cdn.myanimelist.net/images/anime/3/62875.jpg
8514,https://myanimelist.net/anime/8514/Break_Blade_2__Ketsubetsu_no_Michi,Break Blade 2: Ketsubetsu no Michi,Second Break Blade movie.,https://cdn.myanimelist.net/images/anime/2/68081.jpg,Movie,Manga,1,Finished Airing,6/26/2010 0:00,6/26/2010 0:00,,Production I.G|Xebec,Action|Fantasy|Mecha|Military|Shounen,7.73,36850,1007,2354,59635,23,593,50896,340,223,7583,59635,2853,6220,13241,9857,3029,1148,311,94,51,46,807|20608|14122|10978|40745|79626|23440|10653|18469|36983|25937|10726|25706|25978|30683|71260|26754|58251|69493|31603|41829|70132,https://cdn.myanimelist.net/images/anime/2/68081.jpg
10153,https://myanimelist.net/anime/10153/Mahou_Shoujo_Lyrical_Nanoha__The_Movie_2nd_As,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,Six months have passed since the events in the previous movie. Fate has returned to Uminari City with Lindy as her legal guardian and is living the life of a normal elementary schoolgirl along with Nanoha and her friends. The reunion between the two new-found friends is cut short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23293,https://myanimelist.net/anime/23293/Lupin_the_IIIrd__Jigen_Daisuke_no_Bohyou,Lupin the IIIrd: Jigen Daisuke no Bohyou,"The film will be a continuation spinoff of the 2012 ""Lupin III: The Woman Called Fujiko Mine"" television anime series.  Lupin and Jigen have their sights set on a treasure worth stealing called the Little Comet which is located in the country of East Doroa. The country has fortified its border after a singer named Queen Malta got assassinated in the neighboring country of West Doroa upon visit.  Despite the two countries being enemies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23057,https://myanimelist.net/anime/23057/Yukidoke,Yukidoke,The short film tells the story of a young boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7311,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,Suzumiya Haruhi no Shoushitsu,One cold Christmas day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10742,https://myanimelist.net/anime/10742/Saru_to_Kani_no_Gassen,Saru to Kani no Gassen,A monkey tricks a crab and steals his food. More crabs arrive and begin fighting the monkey.  (Source: AniDB),https://cdn.myanimelist.net/images/anime/4/83742.jpg,Movie,Other,1,Finished Airing,5/20/1917 0:00,5/20/1917 0:00,,,Drama,4.68,327,11819,11891,837,1,26,489,23,102,197,837,28,5,10,21,35,86,38,27,30,47,34583,https://cdn.myanimelist.net/images/anime/4/83742.jpg
30213,https://myanimelist.net/anime/30213/Yume_Utsutsu,Yume Utsutsu,Is the path I am walking on now part of a dream or reality? This is the first animation film that is largely motionless.  (Source: Official website),https://cdn.myanimelist.net/images/anime/13/72283.jpg,Movie,Original,1,Finished Airing,3/20/2002 0:00,3/20/2002 0:00,,,Avant Garde,3.21,138,11875,14800,318,0,7,197,3,34,77,318,5,2,1,3,10,13,22,16,19,47,14045|74845,https://cdn.myanimelist.net/images/anime/13/72283.jpg
30328,https://myanimelist.net/anime/30328/Head_Spoon,Head Spoon,Furukawa Taku film.,https://cdn.myanimelist.net/images/anime/13/72630.jpg,Movie,Original,1,Finished Airing,3/20/1972 0:00,3/20/1972 0:00,,,Avant Garde,3.7,224,12165,13726,432,0,9,316,3,37,67,432,9,1,5,7,17,39,31,39,29,47,14045|74845,https://cdn.myanimelist.net/images/anime/13/72630.jpg
35082,https://myanimelist.net/anime/35082/Hibike_Euphonium_Movie_2__Todoketai_Melody,Hibike! Euphonium Movie 2: Todoketai Melody,Following their success in the qualifying round for the Kansai regional competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40298,https://myanimelist.net/anime/40298/Youjo_Senki_Movie__Manner_Eizou,Youjo Senki Movie: Manner Eizou,A manner movie aired before the . Done in the chibi art style of and ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31853,https://myanimelist.net/anime/31853/Biohazard__Vendetta,Biohazard: Vendetta,Chris Redfield enlists the help of Leon S. Kennedy and Rebecca Chambers to stop a death merchant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37441,https://myanimelist.net/anime/37441/Psycho-Pass__Sinners_of_the_System_Case2_-_First_Guardian,Psycho-Pass: Sinners of the System Case.2 - First Guardian,Enforcer Teppei Sugou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38040,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,It is not strange that the Demon Lord's forces fear the Crimson Demons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8491,https://myanimelist.net/anime/8491/Digimon_Savers_3D__Digital_World_Kiki_Ippatsu,Digimon Savers 3D: Digital World Kiki Ippatsu!,The Digimon travel through the digital word and discover a Digimon eating away the Digital World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11019,https://myanimelist.net/anime/11019/Pokemon_3D_Adventure__Mew_wo_Sagase,Pokemon 3D Adventure: Mew wo Sagase!,Pikachu and Meowth are on a search: a search for the elusive Pokémon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
